league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
ENG-Premier League,2025-26,Burnley,Josh Laurent,ENG,MF,30-117,1995,1.1,44,4,13,16,15,3,44,1,0,0.0,1,100.0,19,79,54,2,1,1,1,1,19,6
ENG-Premier League,2025-26,Burnley,Kyle Walker,ENG,DF,35-095,1990,3.0,166,14,74,69,23,0,166,0,0,,0,,69,244,106,1,0,0,3,1,80,2
ENG-Premier League,2025-26,Burnley,Lesley Ugochukwu,FRA,MF,21-158,2004,1.9,91,3,25,48,19,2,91,4,2,50.0,2,50.0,51,239,60,0,1,0,1,3,63,3
ENG-Premier League,2025-26,Burnley,Loum Tchaouna,FRA,"MF,FW",21-357,2003,0.6,30,0,1,14,16,2,30,2,1,50.0,1,50.0,11,79,28,2,2,0,1,1,17,2
ENG-Premier League,2025-26,Burnley,Lyle Foster,RSA,FW,24-362,2000,2.8,85,3,6,42,39,9,85,3,3,100.0,0,0.0,47,162,67,3,3,1,11,7,59,17
ENG-Premier League,2025-26,Burnley,Marcus Edwards,ENG,FW,26-271,1998,0.1,1,0,0,0,1,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0
ENG-Premier League,2025-26,Burnley,Martin Dúbravka,SVK,GK,36-228,1989,3.0,123,105,122,1,0,0,123,0,0,,0,,57,265,149,0,0,0,0,0,48,0
ENG-Premier League,2025-26,Burnley,Maxime Estève,FRA,DF,23-097,2002,2.9,134,22,72,58,4,2,134,0,0,,0,,67,234,131,1,0,0,2,1,81,0
ENG-Premier League,2025-26,Burnley,Oliver Sonne,PER,"DF,FW",24-294,2000,1.2,38,0,13,8,17,2,38,2,1,50.0,1,50.0,12,22,12,0,0,0,0,0,17,3
ENG-Premier League,2025-26,Burnley,Quilindschy Hartman,NED,DF,23-290,2001,3.0,139,13,43,54,43,4,139,2,0,0.0,2,100.0,46,129,76,1,2,0,1,0,65,8
ENG-Premier League,2025-26,Burnley,Zian Flemming,NED,FW,27-030,1998,0.2,8,0,1,2,5,1,8,1,0,0.0,1,100.0,3,18,15,1,1,0,1,0,4,2
ENG-Premier League,2025-26,Chelsea,Andrey Santos,BRA,MF,21-120,2004,0.6,30,0,4,19,7,4,30,0,0,,0,,22,109,63,2,0,0,1,0,22,5
ENG-Premier League,2025-26,Chelsea,Cole Palmer,ENG,MF,23-117,2002,1.0,45,0,2,17,29,7,45,3,1,33.3,1,33.3,33,216,107,6,2,2,2,0,33,9
ENG-Premier League,2025-26,Chelsea,Enzo Fernández,ARG,MF,24-226,2001,2.9,178,2,28,103,48,5,177,2,0,0.0,1,50.0,99,423,193,3,3,0,3,5,133,13
ENG-Premier League,2025-26,Chelsea,Estêvão Willian,BRA,FW,18-129,2007,2.0,90,2,7,40,45,13,90,16,8,50.0,8,50.0,57,413,220,7,2,6,2,4,72,19
ENG-Premier League,2025-26,Chelsea,Jamie Gittens,ENG,FW,21-023,2004,1.0,38,1,5,11,22,5,38,5,2,40.0,3,60.0,20,139,33,2,2,2,5,0,22,8
ENG-Premier League,2025-26,Chelsea,Jorrel Hato,NED,DF,19-177,2006,0.2,14,1,3,9,2,0,14,0,0,,0,,6,15,10,0,0,0,0,1,12,0
ENG-Premier League,2025-26,Chelsea,Joshua Acheampong,ENG,DF,19-118,2006,1.0,102,6,38,59,6,2,102,3,2,66.7,0,0.0,80,370,190,0,1,0,0,0,85,0
ENG-Premier League,2025-26,Chelsea,João Pedro,BRA,"MF,FW",23-339,2001,2.8,102,4,10,42,52,12,102,10,1,10.0,7,70.0,54,281,97,6,2,2,5,6,78,18
ENG-Premier League,2025-26,Chelsea,Liam Delap,ENG,FW,22-204,2003,1.0,25,1,1,10,14,5,25,0,0,,0,,15,99,42,2,1,0,2,2,20,4
ENG-Premier League,2025-26,Chelsea,Malo Gusto,FRA,DF,22-104,2003,1.9,134,5,27,74,33,2,134,1,0,0.0,1,100.0,71,392,171,2,0,0,7,1,85,7
ENG-Premier League,2025-26,Chelsea,Marc Cucurella,ESP,DF,27-040,1998,2.8,226,5,57,125,45,5,226,0,0,,0,,127,449,268,4,5,1,1,0,162,10
ENG-Premier League,2025-26,Chelsea,Moisés Caicedo,ECU,MF,23-302,2001,3.0,233,11,49,165,21,2,233,2,1,50.0,0,0.0,136,636,312,3,3,0,0,2,166,2
ENG-Premier League,2025-26,Chelsea,Pedro Neto,POR,FW,25-175,2000,2.9,144,0,13,40,93,10,144,10,5,50.0,5,50.0,89,692,378,14,5,4,8,3,105,27
ENG-Premier League,2025-26,Chelsea,Reece James,ENG,DF,25-266,1999,1.2,129,1,29,78,22,0,129,0,0,,0,,85,430,265,3,0,0,1,2,91,1
ENG-Premier League,2025-26,Chelsea,Robert Sánchez,ESP,GK,27-286,1997,3.0,113,85,111,2,0,0,113,0,0,,0,,74,307,206,0,0,0,0,0,71,0
ENG-Premier League,2025-26,Chelsea,Tosin Adarabioyo,ENG,DF,27-341,1997,2.0,201,25,103,95,3,1,201,0,0,,0,,94,389,213,0,1,0,1,0,136,0
ENG-Premier League,2025-26,Chelsea,Trevoh Chalobah,ENG,DF,26-057,1999,2.8,242,13,76,145,23,4,242,3,3,100.0,0,0.0,168,723,417,3,4,0,1,1,190,0
ENG-Premier League,2025-26,Chelsea,Tyrique George,ENG,FW,19-208,2006,0.7,13,0,0,5,8,1,13,2,1,50.0,1,50.0,8,24,1,0,0,0,2,2,11,4
ENG-Premier League,2025-26,Chelsea,Wesley Fofana,FRA,DF,24-257,2000,0.2,13,1,5,8,0,0,13,0,0,,0,,6,10,2,0,0,0,0,0,11,0
ENG-Premier League,2025-26,Crystal Palace,Adam Wharton,ENG,MF,21-090,2004,1.9,78,2,23,43,14,0,78,2,2,100.0,0,0.0,42,201,139,2,2,0,2,1,49,0
ENG-Premier League,2025-26,Crystal Palace,Chris Richards,USA,DF,25-156,2000,2.0,85,13,46,31,8,1,85,0,0,,0,,42,247,139,0,1,0,0,0,44,0
ENG-Premier League,2025-26,Crystal Palace,Daniel Muñoz,COL,"DF,MF",29-097,1996,2.0,78,6,28,29,22,3,78,3,1,33.3,2,66.7,35,178,91,4,3,0,1,0,38,8
ENG-Premier League,2025-26,Crystal Palace,Dean Henderson,ENG,GK,28-172,1997,2.0,73,64,72,1,0,0,73,0,0,,0,,39,157,82,0,0,0,0,0,32,0
